4081746	8620886	30454	9292796547853185
3266938	4292302	8658	9292796625634743
3112610	4208554	14076	9292796677103938
3076088	4147210	8710	9292796737622250
3175158	4189578	9014	9292796800684168
3074658	4123270	9134	9292796860347260
3125804	4253168	9624	9292796922203444
3149050	4186654	9218	9292796985393688
2999662	4126268	9190	9292797045214849
3017362	4152960	9094	9292797108298026
3039638	4119084	9306	9292797169138713
3214150	4258874	9192	9292797229968371
3108182	4241510	9104	9292797293641320
3059210	4211552	10218	9292797354057492
3169406	4227430	8942	9292797415260546
3159414	4240478	9040	9292797477914246
3079658	4158424	8904	9292797538230348
2987494	4126992	9160	9292797602357010
3057256	4132556	9114	9292797661608220
3021852	4110702	9060	9292797724774733
3166030	4122418	8778	9292797784922200
3155584	4168658	9276	9292797849029760
3427926	4651528	10396	9292797908319914
3203666	4247880	9434	9292797971144471
3002390	4138056	8832	9292798032077971
3196710	4236992	9538	9292798092609964
3172600	4218218	9212	9292798154884394
3027082	4119782	9426	9292798216826600
3221846	4243560	9128	9292798277859164
3184856	4336038	8994	9292798340767438
3335472	4470244	9586	9292798401114066
3164020	4201928	9066	9292798463174102
3121044	4184504	9006	9292798524816706
3055098	4097036	8966	9292798586678183
3058016	4182530	8986	9292798647880938
3059082	4180940	8966	9292798709750698
3035718	4146774	9376	9292798771276972
3154022	4208540	9240	9292798832659918
3083244	4221706	9102	9292798894965044
3243246	4432114	9796	9292798956702608
3037204	4143048	9000	9292799018223790
3192130	4243798	9032	9292799079512464
3134160	4206274	9318	9292799140995038
3078112	4155892	9000	9292799203471590
3026038	4101206	9302	9292799264121495
3304656	4461274	8932	9292799326381826
3080756	4137012	9020	9292799387783534
3339818	4377400	9122	9292799449684262
2970014	4182162	8854	9292799510982094
3259280	4431546	10552	9292799572869892
3201092	4262796	9020	9292799634134810
3168460	4219510	8972	9292799695951831
3009698	4154324	8762	9292799757655397
3171366	4220722	9084	9292799819721136
3015970	4184900	10432	9292799881608700
2987734	4176756	9038	9292799942544899
2962598	4154454	8934	9292800004747718
2990678	4160040	9660	9292800067711734
3124392	4409962	9096	9292800128427906
2985044	4084848	9244	9292800202746172
3020548	4114784	8678	9292800252502562
3154700	4208408	9078	9292800317009850
3079194	4119898	9034	9292800376344172
2960952	4181174	9042	9292800435893928
2937830	4177122	9148	9292800497585696
2952074	4183830	9270	9292800559962673
3047318	4175438	14878	9292800640421710
16774070	21886146	36268	9292800704256441
8219838	10897812	20946	9292800746022662
3053198	4129542	9394	9292800806092954
3002018	4159954	9022	9292800867816958
2997662	4091518	8968	9292800929433210
2979462	4124784	8790	9292800990963403
2983430	4096836	9402	9292801052753197
3050530	4160400	9234	9292801114912952
2948090	4189434	9016	9292801176604828
2957480	4168072	9008	9292801238097358
2964996	4170646	9138	9292801299483108
3197888	4257784	9028	9292801360948064
3010676	4113470	9292	9292801427753228
3027706	4112266	8730	9292801483906611
3161250	4224922	9034	9292801546219002
3142324	4154814	9214	9292801607338464
3100868	4117938	9126	9292801688390570
6837192	9423452	8794	9292801730889210
2978908	4099218	8838	9292801793491333
2990764	4102720	9382	9292801854156654
2953954	4192028	9104	9292801916132603
2954770	4164276	8998	9292801977701106
3258426	4393208	10292	9292802038653444
3222488	4267632	9094	9292802100594785
3129292	4204804	9112	9292802162442582
3165396	4206042	8768	9292802494125926
